Time,Time Code,Country Name,Country Code,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate) [SL.TLF.CACT.ZS]","Labor force participation rate, total (% of total population ages 15+) (national estimate) [SL.TLF.CACT.NE.ZS]",Employment in agriculture (% of total employment) (modeled ILO estimate) [SL.AGR.EMPL.ZS],"Employers, total (% of total employment) (modeled ILO estimate) [SL.EMP.MPYR.ZS]",Employment in industry (% of total employment) (modeled ILO estimate) [SL.IND.EMPL.ZS],Employment in services (% of total employment) (modeled ILO estimate) [SL.SRV.EMPL.ZS],"Employment to population ratio, 15+, total (%) (modeled ILO estimate) [SL.EMP.TOTL.SP.ZS]","Employment to population ratio, 15+, total (%) (national estimate) [SL.EMP.TOTL.SP.NE.ZS]","Unemployment, total (% of total labor force) (modeled ILO estimate) [SL.UEM.TOTL.ZS]","Unemployment, total (% of total labor force) (national estimate) [SL.UEM.TOTL.NE.ZS]","Children in employment, total (% of children ages 7-14) [SL.TLF.0714.ZS]",GDP growth (annual %) [NY.GDP.MKTP.KD.ZG],GDP per capita growth (annual %) [NY.GDP.PCAP.KD.ZG]
2018,YR2018,Canada,CAN,65.41,65.8,1.486745,4.625822,19.57131,78.94193,61.597,61.96,5.83,5.84,..,2.777040554,1.335564285
2018,YR2018,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,4.267265672,2.173371227
2018,YR2018,Central African Republic,CAF,70.598,..,69.46078,0.6968801,6.397089,24.14213,66.574,..,5.7,..,..,3.789443593,1.792220305
2018,YR2018,Chad,TCD,59.97,59.97,70.38529,1.167698,8.925287,20.68942,59.292,59.29,1.13,1.13,..,2.3740378,-1.026526888
2018,YR2018,Channel Islands,CHI,59.043,..,2.465453,4.589846,26.01626,71.51703,54.95,..,6.932,..,..,1.052290562,-0.182625837
2018,YR2018,Chile,CHL,59.88,59.88,9.29988,4.265527,22.30843,68.3917,55.563,55.56,7.21,7.21,..,3.990029478,2.139078184
2018,YR2018,China,CHN,67.81,..,26.0337,4.210703,27.59801,46.36829,64.887,67.66,4.31,4.93,..,6.749773832,6.251700556
2018,YR2018,Colombia,COL,68.39,65.24,16.70848,4.157436,19.99092,63.30059,62.16,59.13,9.11,9.36,..,2.564324283,0.638439616
2018,YR2018,Comoros,COM,44.185,..,35.74527,0.9263391,19.33117,44.92356,40.631,..,8.043,..,..,3.642451138,1.686721598
2018,YR2018,"Congo, Dem. Rep.",COD,65.98,..,57.02931,2.216105,9.67767,33.29303,63.054,..,4.434,..,..,5.8211211,2.413839975
2018,YR2018,"Congo, Rep.",COG,67.894,..,36.32829,1.042899,21.28652,42.38519,53.878,..,20.644,..,..,-4.805351558,-7.057420278
2018,YR2018,Costa Rica,CRI,62.21,62.21,17.84312,4.095139,18.45895,63.69792,56.605,56.6,9.01,9.01,..,2.615904404,1.66130831
2018,YR2018,Cote d'Ivoire,CIV,64.703,..,43.95443,1.627021,11.43572,44.60984,62.869,..,2.835,..,..,4.843146059,2.186608496
2018,YR2018,Croatia,HRV,51.19,51.19,6.241023,4.723001,27.42235,66.33663,46.875,46.87,8.43,8.43,..,2.800676199,3.723302437
2018,YR2018,Cuba,CUB,56.241,..,17.81512,5.312251,17.06812,65.11678,55.285,..,1.7,1.7,..,2.248480393,2.322141399
2018,YR2018,Curacao,CUW,..,55.8,..,..,..,..,..,48.31,..,13.43,..,-2.16688148,-1.651731191
2018,YR2018,Cyprus,CYP,62.4,62.49,2.165791,2.171089,16.66097,81.17341,57.177,57.17,8.37,8.5,..,5.647858201,4.366951173
2018,YR2018,Czechia,CZE,60.56,60.56,2.802189,3.127225,37.49759,59.70022,59.203,59.2,2.24,2.25,..,3.22008807,2.875468527
2018,YR2018,Denmark,DNK,61.82,61.82,2.191685,3.210765,18.90976,78.89859,58.649,58.64,5.13,5.13,..,1.989537315,1.485085157
2018,YR2018,Djibouti,DJI,32.147,..,1.2606,4.354214,5.767027,92.97179,23.741,..,26.149,..,..,4.774416888,3.09308758
2018,YR2018,Dominica,DMA,..,..,..,..,..,..,..,..,..,..,..,3.547584418,2.933518572
2018,YR2018,Dominican Republic,DOM,63.77,63.77,9.330048,3.272976,19.58853,71.08144,60.033,60.03,5.86,5.86,..,6.982527585,5.807049827
2018,YR2018,Ecuador,ECU,66.66,66.66,28.8247,2.998461,18.52643,52.64887,64.307,64.31,3.53,3.53,..,1.289291933,-0.608002129
2018,YR2018,"Egypt, Arab Rep.",EGY,43.3,43.3,21.66416,12.3503,26.86522,51.47063,39.033,39.03,9.855,9.86,..,5.331108619,3.349815022
2018,YR2018,El Salvador,SLV,58.633,59.82,16.70825,4.545402,22.20379,61.08792,56.282,57.43,4.01,4.01,..,2.412444224,2.25436301
2018,YR2018,Equatorial Guinea,GNQ,55.704,..,55.39997,9.000098,14.01943,30.5806,51.136,..,8.2,..,..,-6.236544067,-9.444845259
2018,YR2018,Eritrea,ERI,78.168,..,62.85505,1.413478,8.372458,28.77249,73.714,..,5.697,..,..,..,..
2018,YR2018,Estonia,EST,63.495,63.73,3.293859,4.485014,29.64865,67.05734,60.06,60.31,5.41,5.37,..,3.78420085,3.423619058
2018,YR2018,Eswatini,SWZ,50.956,..,12.66393,2.160054,24.18113,63.15495,39.36,..,22.756,..,..,2.380095476,1.582707527
2018,YR2018,Ethiopia,ETH,80.67,..,64.95966,0.4578539,9.601213,25.43914,78.203,..,3.058,..,..,6.816147797,3.998440256
2018,YR2018,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,2.731552155,1.269862914
2018,YR2018,Fiji,FJI,57.412,..,29.50183,1.223796,14.27255,56.22561,54.935,..,4.315,..,..,3.812351222,3.814949366
2018,YR2018,Finland,FIN,59.402,59.44,3.711857,3.583019,22.33725,73.95089,55.03,55.07,7.36,7.36,..,1.139718013,1.00565417
2018,YR2018,France,FRA,55.62,55.62,2.49665,4.226478,20.23267,77.27068,50.603,50.61,9.02,9.02,..,1.865066071,1.500539123
2018,YR2018,French Polynesia,PYF,56.327,..,2.219075,3.427561,14.95655,82.82349,49.522,..,12.081,..,..,1.737094719,1.000062615
2018,YR2018,Gabon,GAB,48.599,..,30.62014,2.603607,14.63496,54.74471,38.516,..,20.747,..,..,0.837916581,-1.544872184
2018,YR2018,"Gambia, The",GMB,60.9,60.9,49.60682,1.773349,6.887216,43.50597,58.385,58.39,4.13,4.13,..,7.234890333,4.439494294
2018,YR2018,Georgia,GEO,63.93,63.93,38.89953,1.992965,14.39352,46.70695,55.83,55.84,12.67,12.67,..,4.842919885,4.883854929
2018,YR2018,Germany,DEU,61.28,61.28,1.249488,4.247225,27.33956,71.41095,59.209,59.21,3.38,3.38,..,0.981232606,0.678212594
2018,YR2018,Ghana,GHA,69.094,..,41.03188,5.614462,18.02155,40.94656,66.724,..,3.429,..,..,6.200077681,3.96954738
2018,YR2018,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..,..,..,..
2018,YR2018,Greece,GRC,51.423,51.45,12.26772,7.617712,15.2477,72.48458,41.504,41.58,19.29,19.18,..,1.668428636,1.874903163
2018,YR2018,Greenland,GRL,..,..,..,..,..,..,..,..,..,..,..,0.623065429,0.890684741
2018,YR2018,Grenada,GRD,..,..,..,..,..,..,..,..,..,..,..,4.361440394,3.575975753
2018,YR2018,Guam,GUM,62.607,..,0.2452189,3.363198,14.18845,85.56633,59.134,..,5.547,..,..,-0.792221822,-0.834568542
2018,YR2018,Guatemala,GTM,60.5,60.5,32.91627,2.680576,19.10014,47.98357,59.121,59.12,2.28,2.28,..,3.4068734,1.765136399
2018,YR2018,Guinea,GIN,53.58,..,60.29454,1.52954,6.603593,33.10184,50.914,..,4.977,..,..,6.358491927,3.697806527
2018,YR2018,Guinea-Bissau,GNB,56.02,56.02,51.87905,1.145815,10.03811,38.08285,54.227,54.23,3.2,3.2,..,1.283736703,-1.090777898
2018,YR2018,Guyana,GUY,54.12,54.12,15.9148,5.82933,24.94067,59.14491,46.532,46.53,14.02,14.02,..,4.441013589,1.481084365
2018,YR2018,Haiti,HTI,65.998,..,46.65937,0.7243754,11.96825,41.37238,56.919,..,13.755,..,..,1.667810955,0.293353843
2018,YR2018,Honduras,HND,66.75,66.75,30.95576,9.966967,20.12503,48.91924,62.999,62.99,5.62,5.62,..,3.84499477,2.084618588
2018,YR2018,"Hong Kong SAR, China",HKG,61.16,61.28,0.1931826,2.526126,13.97503,85.83181,59.441,59.56,2.81,2.81,..,2.846920534,2.02719224
2018,YR2018,Hungary,HUN,56.513,56.73,4.848234,4.315417,32.4235,62.72827,54.417,54.63,3.71,3.71,..,5.362348362,5.496018792
2018,YR2018,Iceland,ISL,76.149,81.84,4.029725,4.028306,16.79249,79.17778,74.093,79.63,2.7,2.7,..,4.889172995,2.11737324
2018,YR2018,India,IND,47.56,47.56,43.32882,2.007833,24.9491,31.72209,43.922,43.92,7.65,7.65,..,6.453851345,5.302408679
2018,YR2018,Indonesia,IDN,67.65,67.65,29.71325,3.570065,22.27278,48.01399,64.68,64.68,4.39,4.39,..,5.17429154,4.162984291
2018,YR2018,"Iran, Islamic Rep.",IRN,44.03,44.03,16.65399,3.684882,32.39799,50.94804,38.663,38.66,12.19,12.19,..,-2.253863607,-3.523944251
2018,YR2018,Iraq,IRQ,42.14,..,20.61042,2.111326,20.55468,58.83489,36.213,..,14.065,..,..,2.633850991,0.182367803
2018,YR2018,Ireland,IRL,62.16,62.16,4.770046,4.323893,18.81345,76.4165,58.592,58.59,5.74,5.74,..,8.527541391,7.191314506
2018,YR2018,Isle of Man,IMN,..,..,..,..,..,..,..,..,..,..,..,2.213397869,1.975479485
2018,YR2018,Israel,ISR,63.93,65.43,0.9606484,3.912704,17.24958,81.78977,61.373,62.87,4,3.92,..,4.070321887,2.084470629
2018,YR2018,Italy,ITA,49.92,49.92,3.757786,6.064066,26.10299,70.13921,44.623,44.62,10.61,10.61,..,0.925810941,1.11781662
2018,YR2018,Jamaica,JAM,65.727,63.14,16.26109,3.574334,16.1239,67.61494,62.131,59.68,5.47,5.47,..,1.889923681,1.764583024
2018,YR2018,Japan,JPN,61.45,61.45,3.396733,1.922063,24.43857,72.16469,59.932,59.93,2.47,2.47,..,0.643391023,0.771168471
2018,YR2018,Jordan,JOR,39.18,39.18,3.742369,3.59264,19.65595,76.60163,32.026,32.02,18.26,18.26,..,1.919072636,-0.463136174
2018,YR2018,Kazakhstan,KAZ,70.13,70.13,16.32204,1.423639,20.52759,63.15038,66.729,66.73,4.85,4.85,..,4.1,2.74053638
2018,YR2018,Kenya,KEN,74.093,..,34.30287,1.589135,14.6807,51.0164,70.948,..,4.245,..,..,5.647946407,3.522084435
2018,YR2018,Kiribati,KIR,..,..,..,..,..,..,..,..,..,..,..,5.113636364,3.480975127
2018,YR2018,"Korea, Dem. People's Rep.",PRK,74.862,..,45.06438,1.681703,13.58741,41.34821,72.76,..,2.808,..,..,..,..
2018,YR2018,"Korea, Rep.",KOR,63.36,63.36,4.996522,6.138004,25.20202,69.80147,60.94,60.94,3.82,3.82,..,2.907403774,2.462246216
2018,YR2018,Kosovo,XKX,..,36.25,..,..,..,..,..,26.19,..,27.76,..,3.406631008,3.056664741
2018,YR2018,Kuwait,KWT,73.282,..,2.067569,0.622618,25.09063,72.8418,71.701,..,2.158,..,..,2.433981269,-2.128275932
2018,YR2018,Kyrgyz Republic,KGZ,58.81,64.13,20.4287,2.026614,24.62955,54.94175,56.652,61.78,3.67,3.67,..,3.757910125,1.713209106
2018,YR2018,Lao PDR,LAO,59.626,..,60.0531,0.5617328,9.97292,29.97398,57.679,..,3.266,..,..,6.247960008,4.646555619
2018,YR2018,Latvia,LVA,61.44,61.44,6.972239,4.291601,23.66068,69.3672,56.887,56.89,7.41,7.41,..,3.991854505,4.805259633
2018,YR2018,Lebanon,LBN,48.43,..,3.770687,9.415299,21.12917,75.10014,43.234,..,10.728,..,..,-1.884705756,0.727150842
2018,YR2018,Lesotho,LSO,64.832,..,30.25925,3.022076,34.02745,35.7133,53.863,..,16.918,..,..,-1.48063361,-2.708754521
2018,YR2018,Liberia,LBR,76.773,..,40.19576,1.52045,8.091777,51.71252,74.451,..,3.025,..,..,1.157575122,-0.76155482
2018,YR2018,Libya,LBY,47.618,..,17.40025,2.961123,18.57486,64.02489,38.358,..,19.446,..,..,7.941367853,6.282836896
2018,YR2018,Liechtenstein,LIE,..,..,..,..,..,..,..,..,..,..,..,..,..
2018,YR2018,Lithuania,LTU,61.55,61.55,7.182564,2.395154,25.76732,67.05011,57.765,57.76,6.15,6.15,..,3.993310328,4.990353856
2018,YR2018,Luxembourg,LUX,59.88,59.88,1.053964,2.934383,11.7521,87.19394,56.533,56.54,5.59,5.59,..,1.219321919,-0.714325922
2018,YR2018,"Macao SAR, China",MAC,69.826,..,1.018453,3.103077,9.890427,89.09112,68.548,..,1.83,1.83,..,6.464667694,4.43968499
2018,YR2018,Madagascar,MDG,85.677,..,74.54815,4.327508,9.904227,15.54757,84.106,..,1.833,..,..,3.194356515,0.592066851
2018,YR2018,Malawi,MWI,67.523,..,62.94659,1.287371,7.722305,29.3311,64.181,..,4.949,..,..,4.391688296,1.625495537
2018,YR2018,Malaysia,MYS,65.125,68.29,10.59484,3.703329,27.50637,61.89882,62.976,66.04,3.3,3.3,..,4.843086976,3.472766705
2018,YR2018,Maldives,MDV,61.961,..,9.171635,3.591067,24.14672,66.6812,58.881,..,4.971,..,..,8.123128908,4.30030192
2018,YR2018,Mali,MLI,69.108,63.75,63.00288,0.5945371,7.657404,29.33971,67.989,62.72,1.62,1.62,..,4.746484327,1.473176725
2018,YR2018,Malta,MLT,59.681,60.08,0.9961388,4.318372,18.59486,80.40941,57.497,57.88,3.66,3.66,..,6.140227303,2.497823572
2018,YR2018,Marshall Islands,MHL,..,..,..,..,..,..,..,..,..,..,..,4.194018756,6.908242472
2018,YR2018,Mauritania,MRT,41.043,..,31.37404,4.0245,17.94925,50.67671,36.778,..,10.391,..,..,4.772173639,2.056475342
2018,YR2018,Mauritius,MUS,58.551,58.67,6.203211,3.450658,24.10495,69.69184,54.787,54.9,6.43,6.43,..,4.006740572,3.950035487
2018,YR2018,Mexico,MEX,60.484,59.63,12.61688,4.804584,26.24963,61.1335,58.506,57.68,3.27,3.27,..,2.194994725,1.227050123
2018,YR2018,"Micronesia, Fed. Sts.",FSM,..,..,..,..,..,..,..,..,..,..,..,0.2116536,-0.23913578
2018,YR2018,Moldova,MDA,43.173,67.05,39.31216,0.3528718,15.59011,45.09764,41.916,66.22,2.91,1.24,..,4.075595466,5.920367182
2018,YR2018,Monaco,MCO,..,..,..,..,..,..,..,..,..,..,..,5.95627042,5.999192023
2018,YR2018,Mongolia,MNG,59.47,59.47,26.66359,1.472646,20.61125,52.72508,56.271,56.28,5.38,5.38,..,7.74488062,5.430572573
2018,YR2018,Montenegro,MNE,56.01,56.01,8.018858,8.316986,18.89827,73.08246,47.502,47.5,15.19,15.19,..,5.077888811,5.102544398
2018,YR2018,Morocco,MAR,45.456,..,34.58946,2.486199,22.34221,43.06833,41.257,..,9.239,..,..,3.06564133,1.899445896
2018,YR2018,Mozambique,MOZ,78.899,..,71.54489,2.747589,8.534107,19.92103,76.173,..,3.455,..,..,3.443813083,0.439918718
2018,YR2018,Myanmar,MMR,62.36,62.36,48.93753,4.30106,17.01677,34.0457,61.88,61.88,0.77,0.77,..,6.404977325,5.641937103
2018,YR2018,Namibia,NAM,58.88,58.88,22.59067,6.321473,16.22055,61.18879,47.175,47.18,19.88,19.88,..,1.059943471,-0.668554265
2018,YR2018,Nauru,NRU,..,..,..,..,..,..,..,..,..,..,..,7.920792079,5.730517701
2018,YR2018,Nepal,NPL,40.047,..,63.01181,1.057096,15.5935,21.39471,35.793,..,10.623,..,..,7.622376108,6.401863287
2018,YR2018,Netherlands,NLD,64.27,64.27,2.098273,3.990588,16.17081,81.73091,61.808,61.81,3.83,3.83,..,2.360915095,1.764937264
2018,YR2018,New Caledonia,NCL,58.918,57.87,3.735077,5.055302,27.99157,68.27247,52.081,51.1,11.603,11.7,..,4,3.86193163
2018,YR2018,New Zealand,NZL,70.91,70.9,5.889187,6.136347,20.007,74.10385,67.84,67.84,4.33,4.34,..,3.5251832,1.687308055
2018,YR2018,Nicaragua,NIC,65.195,..,29.25525,5.557948,18.00321,52.74154,61.805,..,5.2,5.2,..,-3.363186539,-4.711539896
2018,YR2018,Niger,NER,73.51,..,71.87001,0.7386065,7.23103,20.89897,73.112,..,0.542,..,..,7.210803008,3.226030307
2018,YR2018,Nigeria,NGA,58.275,..,35.91854,2.055562,12.15275,51.92871,55.383,..,4.963,..,..,1.922757342,-0.590389272
2018,YR2018,North Macedonia,MKD,55.19,54.81,15.72184,4.253976,31.35945,52.91871,43.49,43.19,21.2,21.2,..,2.88059671,2.795615119
2018,YR2018,Northern Mariana Islands,MNP,..,..,..,..,..,..,..,..,..,..,..,-19.26884996,-18.58678216
2018,YR2018,Norway,NOR,63.912,64.12,2.104862,1.557774,19.46661,78.42852,61.483,61.68,3.8,3.8,..,0.828931484,0.165560772
2018,YR2018,Oman,OMN,70.36,67.85,4.360339,1.127672,46.22538,49.41428,69.094,66.59,1.8,1.8,..,1.287103915,-0.018356673
2018,YR2018,Pakistan,PAK,50.99,50.99,37.41642,1.409443,24.98878,37.59479,48.91,48.91,4.08,4.08,..,6.151702611,4.532445206
2018,YR2018,Palau,PLW,..,..,..,..,..,..,..,..,..,..,..,0.108108108,-0.04319725
2018,YR2018,Panama,PAN,64.91,64.91,14.20712,3.139677,18.76418,67.02865,61.523,61.46,5.218,5.31,..,3.685429938,1.963037847
2018,YR2018,Papua New Guinea,PNG,47.548,..,19.74101,2.7339,8.951169,71.30782,46.341,..,2.538,..,..,-0.279252285,-2.571319961
2018,YR2018,Paraguay,PRY,71.87,71.87,20.07689,5.381124,18.58518,61.33793,67.4,67.4,6.22,6.22,..,3.204250341,1.795951631
2018,YR2018,Peru,PER,77.18,77.18,26.12679,3.84438,16.31622,57.55703,74.486,74.48,3.49,3.49,..,3.969351341,2.037249793
2018,YR2018,Philippines,PHL,58.98,58.98,24.29322,3.618838,19.06434,56.64243,57.6,57.6,2.34,2.34,..,6.341485572,4.548700918
2018,YR2018,Poland,POL,57.106,56.34,9.618485,4.048833,31.81651,58.565,54.908,54.17,3.85,3.85,..,5.945208477,5.945420508
2018,YR2018,Portugal,PRT,59.11,59.11,6.044384,4.837229,24.84663,69.10899,54.978,54.97,6.99,6.99,..,2.849325934,3.01412373
2018,YR2018,Puerto Rico,PRI,40.5,..,1.29215,3.788352,12.79142,85.91644,36.774,..,9.2,9.2,..,-4.360606061,-0.409307044
2018,YR2018,Qatar,QAT,87.491,87.34,1.22923,0.2894315,54.23256,44.53821,87.395,87.24,0.11,0.11,..,1.234872202,-0.776739175
2018,YR2018,Romania,ROU,54.98,54.98,22.30654,1.052242,30.03076,47.66268,52.676,52.68,4.19,4.19,..,6.029019041,6.653765808
2018,YR2018,Russian Federation,RUS,62.585,62.86,5.882628,1.446902,26.8079,67.30946,59.55,59.82,4.85,4.85,..,2.80724541,2.815524107
2018,YR2018,Rwanda,RWA,53.67,60.38,56.81429,0.0507546,15.49325,27.69246,47.176,53.88,12.1,10.76,..,8.539836454,5.928769004
2018,YR2018,Samoa,WSM,54.105,..,25.57598,2.944835,15.51314,58.91088,48.98,..,9.472,..,..,-0.609647103,-1.591222875
2018,YR2018,San Marino,SMR,..,71.32,..,..,..,..,..,..,..,7.83,..,1.493905318,1.196757217
2018,YR2018,Sao Tome and Principe,STP,54.202,..,18.52527,2.373388,19.55657,61.91816,46.615,..,13.998,..,..,2.945268909,1.333948268
2018,YR2018,Saudi Arabia,SAU,56.288,55.98,3.052273,0.8132644,25.65549,71.29221,52.894,52.61,6.03,6.03,..,2.762243738,0.341212854
2018,YR2018,Senegal,SEN,49.29,49.29,22.24504,1.848879,19.81527,57.93969,47.53,47.53,3.57,3.57,..,6.209241034,3.364821604
2018,YR2018,Serbia,SRB,54.605,54.49,15.92554,3.587216,26.90445,57.17001,47.653,47.55,12.73,12.73,..,4.495121293,5.067594881
2018,YR2018,Seychelles,SYC,..,68.68,..,..,..,..,..,66.25,..,3.53,..,3.709434312,2.724450846
2018,YR2018,Sierra Leone,SLE,53.91,53.91,46.19471,2.794484,10.57843,43.22686,52.19,52.19,3.19,3.19,..,3.47290262,1.054769013
2018,YR2018,Singapore,SGP,70.125,67.7,0.40347,4.361053,15.74545,83.85108,67.571,65.08,3.641,..,..,3.57543271,3.090075215
2018,YR2018,Sint Maarten (Dutch part),SXM,..,..,..,..,..,..,..,..,..,..,..,-6.599997737,-7.333128945
2018,YR2018,Slovak Republic,SVK,59.79,59.81,2.293162,2.917418,36.51559,61.19124,55.88,55.9,6.54,6.54,..,4.030389714,3.886398879
2018,YR2018,Slovenia,SVN,58.81,58.82,5.481421,3.794884,33.34874,61.16984,55.805,55.81,5.11,5.13,..,4.454365747,4.076316305
2018,YR2018,Solomon Islands,SLB,83.896,..,38.8426,0.9812905,10.39337,50.76403,83.297,..,0.714,..,..,2.745995423,0.312349383
2018,YR2018,Somalia,SOM,34.091,..,28.1003,1.087393,17.01068,54.88902,27.658,..,18.87,..,..,7.530969253,3.715160735
2018,YR2018,South Africa,ZAF,58.13,58.13,15.69041,5.248103,20.58729,63.7223,44.051,44.05,24.22,24.22,..,1.522329387,0.285735634
2018,YR2018,South Sudan,SSD,70.635,..,62.64797,1.709975,12.74064,24.61141,61.997,..,12.229,..,..,..,..
2018,YR2018,Spain,ESP,57.552,57.92,4.204082,4.968198,20.33286,75.46304,48.776,49.08,15.25,15.25,..,2.284469419,1.837460464
